ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
28264,31.61,0.001,71.986,0.003,MultiplePeopleCounter.py:589(head_contours_extraction)
28265,4.984,0,5.61,0,MultiplePeopleCounter.py:487(image_pre_processing)
28264,3.629,0,11.254,0,MultiplePeopleCounter.py:518(binarize_frame)
9421,2.325,0,3.064,0,MultiplePeopleCounter.py:552(background_recalculation)
28264,1.917,0,6.853,0,MultiplePeopleCounter.py:716(visualization)
349534,1.689,0,3.747,0,MultiplePeopleCounter.py:633(<listcomp>)
1,1.67,1.67,964.257,964.257,MultiplePeopleCounter.py:907(run)
28390,0.969,0,764.272,0.027,MultiplePeopleCounter.py:803(get_frame)
28389,0.325,0,93.717,0.003,MultiplePeopleCounter.py:833(wait_for_key)
28264,0.211,0,1.707,0,MultiplePeopleCounter.py:425(check_daily_reset)
28363,0.038,0,0.038,0,MultiplePeopleCounter.py:229(get_count_out)
28264,0.029,0,0.029,0,MultiplePeopleCounter.py:449(push_data_interval)
28363,0.027,0,0.027,0,MultiplePeopleCounter.py:225(get_count_in)
99,0.001,0,0.009,0,MultiplePeopleCounter.py:373(write_count_to_log)
67,0.001,0,0.012,0,MultiplePeopleCounter.py:674(count_out)
31,0.001,0,0.007,0,MultiplePeopleCounter.py:686(count_in)
873,0.001,0,0.001,0,MultiplePeopleCounter.py:697(track_lost_callback)
1,0,0,0.007,0.007,MultiplePeopleCounter.py:1004(instantiate_counter_from_args)
1,0,0,0.3,0.3,MultiplePeopleCounter.py:2(<module>)
1,0,0,0,0,MultiplePeopleCounter.py:233(load_config)
1,0,0,0,0,MultiplePeopleCounter.py:245(map_config)
1,0,0,0,0,MultiplePeopleCounter.py:26(WinName)
31,0,0,0,0,MultiplePeopleCounter.py:326(map_config_params)
1,0,0,0,0,MultiplePeopleCounter.py:348(init_log_file)
1,0,0,0,0,MultiplePeopleCounter.py:36(MultiplePeopleCounter)
1,0,0,0,0,MultiplePeopleCounter.py:363(close_log_file)
1,0,0,0.001,0.001,MultiplePeopleCounter.py:388(read_count_in_log)
19,0,0,0,0,MultiplePeopleCounter.py:396(<genexpr>)
1,0,0,0.007,0.007,MultiplePeopleCounter.py:44(__init__)
1,0,0,0,0,MultiplePeopleCounter.py:545(init_background)
1,0,0,0,0,MultiplePeopleCounterConfig.py:14(__init__)
1,0,0,0.013,0.013,MultiplePeopleCounterConfig.py:2(<module>)
31,0,0,0,0,MultiplePeopleCounterConfig.py:22(rgetattr)
62,0,0,0,0,MultiplePeopleCounterConfig.py:25(_getattr)
1,0,0,0,0,MultiplePeopleCounterConfig.py:51(MultiplePeopleCounterConfig)
1,0,0,0,0,MultiplePeopleCounterConfig.py:57(__init__)
1,0,0,0,0,MultiplePeopleCounterConfig.py:8(ConfigSection)
1,0,0,0,0,MultiplePeopleCounterConfig.py:95(read_config_file)
